id,text,original_text,created_at,author_id,keyword,source,sentiment,polarity,subjectivity,confidence,emotion,word_count,like_count,retweet_count,hour,day_of_week,date,is_weekend,cluster
sample_0,Finally finished that project I've been working on! 🎉 🙂,Finally finished that project I've been working on! 🎉 🙂,2025-06-29 01:37:16.679156000,user_0,mood,sample_data,Neutral,0.0,1.0,1.0,neutral,10,9,1,1,Sunday,2025-06-29,True,3
sample_1,Sometimes the little things make me the happiest 💝 Feeling blessed.,Sometimes the little things make me the happiest 💝 Feeling blessed.,2025-06-29 01:45:41.099506291,user_1,feeling,sample_data,Neutral,-0.1875,0.5,0.8125,gratitude,11,9,2,1,Sunday,2025-06-29,True,3
sample_2,"Standard Tuesday, same as always.","Standard Tuesday, same as always.",2025-06-29 01:54:05.519856583,user_2,day,sample_data,Neutral,0.0,0.0625,1.0,neutral,5,6,0,1,Sunday,2025-06-29,True,0
sample_3,"Accomplished so much today, feeling proud! 🏆!","Accomplished so much today, feeling proud! 🏆!",2025-06-29 02:02:29.940206875,user_3,life,sample_data,Positive,0.4666666666666666,0.5666666666666667,0.4666666666666666,neutral,7,8,3,2,Sunday,2025-06-29,True,1
sample_4,Feeling overwhelmed with everything going on Not my best day.,Feeling overwhelmed with everything going on Not my best day.,2025-06-29 02:10:54.360557167,user_4,day,sample_data,Positive,1.0,0.3,1.0,neutral,10,5,0,2,Sunday,2025-06-29,True,2
sample_5,"Just checking in, hope everyone's well Moving on.","Just checking in, hope everyone's well Moving on.",2025-06-29 02:19:18.780907459,user_5,life,sample_data,Neutral,0.0,0.0,1.0,neutral,8,5,1,2,Sunday,2025-06-29,True,0
sample_6,"Beautiful sunset tonight, life is good! 🌅!","Beautiful sunset tonight, life is good! 🌅!",2025-06-29 02:27:43.201257751,user_6,today,sample_data,Positive,0.925,0.8,0.925,neutral,7,4,0,2,Sunday,2025-06-29,True,2
sample_7,Finally finished that project I've been working on! 🎉 Feeling blessed.,Finally finished that project I've been working on! 🎉 Feeling blessed.,2025-06-29 02:36:07.621608043,user_7,mood,sample_data,Neutral,0.0,1.0,1.0,gratitude,11,15,3,2,Sunday,2025-06-29,True,1
sample_8,"Just checking in, hope everyone's well Moving on.","Just checking in, hope everyone's well Moving on.",2025-06-29 02:44:32.041958335,user_8,day,sample_data,Neutral,0.0,0.0,1.0,neutral,8,5,1,2,Sunday,2025-06-29,True,0
sample_9,Feeling incredibly grateful for my family today 💕 🙂,Feeling incredibly grateful for my family today 💕 🙂,2025-06-29 02:52:56.462308627,user_9,mood,sample_data,Positive,0.9,0.9,0.9,gratitude,9,5,0,2,Sunday,2025-06-29,True,2
sample_10,Work has been incredibly stressful this week Hope tomorrow is better.,Work has been incredibly stressful this week Hope tomorrow is better.,2025-06-29 03:01:20.882658919,user_10,feeling,sample_data,Positive,0.7,0.7,0.7,neutral,11,3,1,3,Sunday,2025-06-29,True,2
sample_11,Sometimes the little things make me the happiest 💝 🙂,Sometimes the little things make me the happiest 💝 🙂,2025-06-29 03:09:45.303009211,user_11,day,sample_data,Neutral,-0.1875,0.5,0.8125,neutral,10,6,2,3,Sunday,2025-06-29,True,3
sample_12,Weather looks okay for the weekend That's life.,Weather looks okay for the weekend That's life.,2025-06-29 03:18:09.723359502,user_12,feeling,sample_data,Positive,0.5,0.5,0.5,neutral,8,4,0,3,Sunday,2025-06-29,True,4
